7月
_time,_value
2025-07-18T08:23:00Z,0
2025-07-18T08:24:00Z,0
2025-07-18T08:25:00Z,0
2025-07-21T06:39:00Z,40382.273
2025-07-21T06:40:00Z,40382.47
2025-07-21T06:41:00Z,40382.676
2025-07-21T06:42:00Z,40382.902
2025-07-21T07:12:00Z,40389.637
2025-07-21T07:13:00Z,40389.855
2025-07-21T07:14:00Z,40390.09
2025-07-21T07:15:00Z,40390.316
2025-07-21T07:16:00Z,40390.527
2025-07-21T07:17:00Z,40390.71
2025-07-21T07:18:00Z,40390.93
2025-07-21T07:19:00Z,40391.137
2025-07-21T07:20:00Z,40391.375
2025-07-21T07:21:00Z,40391.617
2025-07-21T07:22:00Z,40391.832
2025-07-21T07:23:00Z,40392.07
2025-07-21T07:24:00Z,40392.344
2025-07-21T07:25:00Z,40392.562
2025-07-21T07:26:00Z,40392.793
2025-07-21T07:27:00Z,40393.027
2025-07-21T07:28:00Z,40393.242
2025-07-21T07:29:00Z,40393.45
2025-07-21T07:30:00Z,40393.684
2025-07-21T07:31:00Z,40393.875
2025-07-21T07:32:00Z,40394.117
2025-07-21T07:33:00Z,40394.316
2025-07-21T07:34:00Z,40394.543
2025-07-21T07:35:00Z,40394.75
2025-07-21T07:36:00Z,40394.965
2025-07-21T07:37:00Z,40395.18
2025-07-21T07:38:00Z,40395.414
2025-07-21T07:39:00Z,40395.625
2025-07-21T07:40:00Z,40395.805
2025-07-21T07:41:00Z,40396.027
2025-07-21T07:42:00Z,40396.23
2025-07-21T07:43:00Z,40396.445
2025-07-21T07:44:00Z,40396.676
2025-07-21T07:45:00Z,40396.87
2025-07-21T07:46:00Z,40397.074
2025-07-21T07:47:00Z,40397.297
2025-07-21T07:48:00Z,40397.5
2025-07-21T07:49:00Z,40397.723
2025-07-21T07:50:00Z,40397.773
2025-07-21T07:51:00Z,40398.137
2025-07-21T07:52:00Z,40398.363
2025-07-21T07:53:00Z,40398.582
2025-07-21T07:54:00Z,40398.793
2025-07-21T07:55:00Z,40399.03
2025-07-21T07:56:00Z,40399.242
2025-07-21T07:57:00Z,40399.438
2025-07-21T07:58:00Z,40399.664
2025-07-21T07:59:00Z,40399.88
2025-07-21T08:00:00Z,40400.094
2025-07-21T08:01:00Z,40400.316
2025-07-21T08:02:00Z,40400.52
2025-07-21T08:03:00Z,40400.75
2025-07-21T08:04:00Z,40400.97
2025-07-21T08:05:00Z,40401.18
2025-07-21T08:06:00Z,40401.41
2025-07-21T08:07:00Z,40401.645
2025-07-21T08:08:00Z,40401.832
2025-07-21T08:09:00Z,40402.05
2025-07-21T08:10:00Z,40402.273
2025-07-21T08:11:00Z,40402.477
2025-07-21T08:12:00Z,40402.723
2025-07-21T08:13:00Z,40402.938
2025-07-21T08:14:00Z,40403.145
2025-07-21T08:15:00Z,40403.355
2025-07-21T08:16:00Z,40403.58
2025-07-21T08:17:00Z,40403.81
2025-07-21T08:18:00Z,40404.05
2025-07-21T08:19:00Z,40404.254
2025-07-21T08:20:00Z,40404.465
2025-07-21T08:21:00Z,40404.684
2025-07-21T08:22:00Z,40404.902
2025-07-21T08:23:00Z,40405.117
2025-07-21T08:24:00Z,40405.363
2025-07-21T08:25:00Z,40405.582
2025-07-21T08:26:00Z,40405.773
2025-07-21T08:27:00Z,40405.99
2025-07-21T08:28:00Z,40406.19
2025-07-21T08:29:00Z,40406.453
2025-07-21T08:30:00Z,40406.633
2025-07-21T08:31:00Z,40406.867
2025-07-21T08:32:00Z,40407.086
2025-07-21T08:33:00Z,40407.3
2025-07-21T08:34:00Z,40407.53
2025-07-21T08:35:00Z,40407.766
2025-07-21T08:36:00Z,40408.01
2025-07-21T08:37:00Z,40408.207
2025-07-21T08:38:00Z,40408.43
2025-07-21T08:39:00Z,40408.645
2025-07-21T08:40:00Z,40408.86
2025-07-21T08:41:00Z,40409.098
2025-07-21T08:42:00Z,40409.297
2025-07-21T08:43:00Z,40409.508
2025-07-21T08:44:00Z,40409.74
2025-07-21T08:45:00Z,40409.953
2025-07-21T08:46:00Z,40410.168
2025-07-21T08:47:00Z,40410.41
2025-07-21T08:48:00Z,40410.605
2025-07-21T08:49:00Z,40410.816
2025-07-21T08:50:00Z,40411.043
2025-07-21T08:51:00Z,40411.2578125
2025-07-21T08:52:00Z,40411.4609375
2025-07-21T08:53:00Z,40411.69921875
2025-07-21T08:54:00Z,40411.921875
2025-07-21T08:55:00Z,40412.13671875
2025-07-21T08:56:00Z,40412.359375
2025-07-21T08:57:00Z,40412.55078125
2025-07-21T08:58:00Z,40412.76953125
2025-07-21T08:59:00Z,40413.01171875
2025-07-21T09:00:00Z,40413.26953125
2025-07-21T09:01:00Z,40413.484375
2025-07-21T09:02:00Z,40413.68359375
2025-07-21T09:03:00Z,40413.90234375
2025-07-21T09:04:00Z,40414.12890625
2025-07-21T09:05:00Z,40414.359375
2025-07-21T09:06:00Z,40414.5859375
2025-07-21T09:07:00Z,40414.76953125
2025-07-21T09:08:00Z,40414.98828125
2025-07-21T09:09:00Z,40415.2109375
2025-07-21T09:10:00Z,40415.4375
2025-07-21T09:11:00Z,40415.65234375
2025-07-21T09:12:00Z,40415.87890625
2025-07-21T09:13:00Z,40416.14453125
2025-07-21T09:14:00Z,40416.41015625
2025-07-21T09:15:00Z,40416.609375
2025-07-21T09:16:00Z,40416.81640625
2025-07-21T09:17:00Z,40417.05078125
2025-07-21T09:18:00Z,40417.2734375
2025-07-21T09:19:00Z,40417.484375
2025-07-21T09:20:00Z,40417.734375
2025-07-21T09:21:00Z,40417.9296875
2025-07-21T09:22:00Z,40418.11328125
2025-07-21T09:23:00Z,40418.296875
2025-07-21T09:24:00Z,40418.4765625
2025-07-21T09:25:00Z,40418.6796875
2025-07-21T09:26:00Z,40418.83203125
2025-07-21T09:27:00Z,40419.02734375
2025-07-21T09:28:00Z,40419.19140625
2025-07-21T09:29:00Z,40419.2109375
2025-07-21T09:30:00Z,40419.234375
2025-07-21T09:31:00Z,40419.25390625
2025-07-21T09:32:00Z,40419.25390625
2025-07-21T09:33:00Z,40419.25390625
2025-07-21T09:34:00Z,40419.25390625
2025-07-21T09:35:00Z,40419.25390625
2025-07-21T09:36:00Z,40419.25390625
2025-07-21T09:37:00Z,40419.25390625
2025-07-21T09:38:00Z,40419.25390625
2025-07-21T09:39:00Z,40419.25390625
2025-07-22T00:27:00Z,40419.2539
2025-07-22T00:28:00Z,40419.3281
2025-07-22T00:29:00Z,40419.4531
2025-07-22T00:30:00Z,40419.5469
2025-07-22T00:31:00Z,40419.6406
2025-07-22T00:32:00Z,40419.7266
2025-07-22T00:33:00Z,40419.8125
2025-07-22T00:34:00Z,40419.8789
2025-07-22T00:35:00Z,40419.9648
2025-07-22T00:36:00Z,40420.0391
2025-07-22T00:37:00Z,40420.1172
2025-07-22T00:38:00Z,40420.1914
2025-07-22T00:39:00Z,40420.2695
2025-07-22T00:40:00Z,40420.332
2025-07-22T00:41:00Z,40420.4141
2025-07-22T00:42:00Z,40420.4766
2025-07-22T00:43:00Z,40420.5469
2025-07-22T00:44:00Z,40420.6133
2025-07-22T00:45:00Z,40420.6836
2025-07-22T00:46:00Z,40420.75
2025-07-22T00:47:00Z,40420.7891
2025-07-22T00:48:00Z,40420.875
2025-07-22T00:49:00Z,40420.9375
2025-07-22T00:50:00Z,40420.9375
2025-07-22T00:51:00Z,40420.9375
2025-07-22T00:52:00Z,40420.9375
2025-07-22T00:53:00Z,40420.9375
2025-07-22T00:54:00Z,40420.9375
2025-07-22T00:55:00Z,40420.9375
2025-07-22T00:56:00Z,40420.9375
2025-07-22T00:57:00Z,40420.9375
2025-07-22T00:58:00Z,40420.9375
2025-07-22T00:59:00Z,40420.9375
2025-07-22T01:00:00Z,40421.7266
2025-07-22T01:01:00Z,40422.2383
2025-07-22T01:02:00Z,40423.043
2025-07-22T01:03:00Z,40423.6211
2025-07-22T01:04:00Z,40424.293
2025-07-22T01:05:00Z,40424.918
2025-07-22T01:06:00Z,40425.5234
2025-07-22T01:07:00Z,40426.1094
2025-07-22T01:08:00Z,40426.6406
2025-07-22T01:09:00Z,40427.0977
2025-07-22T01:10:00Z,40427.5859
2025-07-22T01:11:00Z,40428.0547
2025-07-22T01:12:00Z,40428.5156
2025-07-22T01:13:00Z,40428.8945
2025-07-22T01:14:00Z,40429.2031
2025-07-22T01:15:00Z,40429.5977
2025-07-22T01:16:00Z,40429.9414
2025-07-22T01:17:00Z,40430.2227
2025-07-22T01:18:00Z,40430.5508
