9月
_time,_value
2025-09-01T00:01:00Z,43857.4023
2025-09-01T00:02:00Z,43857.5664
2025-09-01T00:03:00Z,43857.7266
2025-09-01T00:04:00Z,43857.8828
2025-09-01T00:05:00Z,43858.043
2025-09-01T00:06:00Z,43858.1953
2025-09-01T00:07:00Z,43858.3438
2025-09-01T00:08:00Z,43858.5
2025-09-01T00:09:00Z,43858.6445
2025-09-01T00:10:00Z,43858.8008
2025-09-01T00:11:00Z,43858.957
2025-09-01T00:12:00Z,43859.1094
2025-09-01T00:13:00Z,43859.2617
2025-09-01T00:14:00Z,43859.418
2025-09-01T00:15:00Z,43859.5625
2025-09-01T00:16:00Z,43859.7109
2025-09-01T00:17:00Z,43859.8633
2025-09-01T00:18:00Z,43860.0156
2025-09-01T00:19:00Z,43860.1602
2025-09-01T00:20:00Z,43860.3047
2025-09-01T00:21:00Z,43860.457
2025-09-01T00:22:00Z,43860.5977
2025-09-01T00:23:00Z,43860.75
2025-09-01T00:24:00Z,43860.8906
2025-09-01T00:25:00Z,43861.0312
2025-09-01T00:26:00Z,43861.1758
2025-09-01T00:27:00Z,43861.3047
2025-09-01T00:28:00Z,43861.4492
2025-09-01T00:29:00Z,43861.5898
2025-09-01T00:30:00Z,43861.7305
2025-09-01T00:31:00Z,43861.8672
2025-09-01T00:32:00Z,43862.0078
2025-09-01T00:33:00Z,43862.1445
2025-09-01T00:34:00Z,43862.2852
2025-09-01T00:35:00Z,43862.4297
2025-09-01T00:36:00Z,43862.5859
2025-09-01T00:37:00Z,43862.7305
2025-09-01T00:38:00Z,43862.8789
2025-09-01T00:39:00Z,43863.0273
2025-09-01T00:40:00Z,43863.1719
2025-09-01T00:41:00Z,43863.3164
2025-09-01T00:42:00Z,43863.5156
2025-09-01T00:43:00Z,43863.7305
2025-09-01T00:44:00Z,43864.3516
2025-09-01T00:45:00Z,43865.0234
2025-09-01T00:46:00Z,43865.5586
2025-09-01T00:47:00Z,43866.0664
2025-09-01T00:48:00Z,43866.5391
2025-09-01T00:49:00Z,43866.9609
2025-09-01T00:50:00Z,43867.332
2025-09-01T00:51:00Z,43867.6602
2025-09-01T00:52:00Z,43867.957
2025-09-01T00:53:00Z,43868.2578
2025-09-01T00:54:00Z,43868.5234
2025-09-01T00:55:00Z,43868.7773
2025-09-01T00:56:00Z,43869.0078
2025-09-01T00:57:00Z,43869.2461
2025-09-01T00:58:00Z,43869.4609
2025-09-01T00:59:00Z,43869.6875
2025-09-01T01:00:00Z,43869.8867
2025-09-01T01:01:00Z,43870.1172
2025-09-01T01:02:00Z,43870.3594
2025-09-01T01:03:00Z,43870.5898
2025-09-01T01:04:00Z,43870.8125
2025-09-01T01:05:00Z,43871.0547
2025-09-01T01:06:00Z,43871.3633
2025-09-01T01:07:00Z,43871.6797
2025-09-01T01:08:00Z,43872.0391
2025-09-01T01:09:00Z,43872.3438
2025-09-01T01:10:00Z,43872.668
2025-09-01T01:11:00Z,43872.9648
2025-09-01T01:12:00Z,43873.2812
2025-09-01T01:13:00Z,43873.5977
2025-09-01T01:14:00Z,43873.9102
2025-09-01T01:15:00Z,43874.3203
2025-09-01T01:16:00Z,43874.6914
2025-09-01T01:17:00Z,43875.1172
2025-09-01T01:18:00Z,43875.4766
2025-09-01T01:19:00Z,43875.918
2025-09-01T01:20:00Z,43876.2969
2025-09-01T01:21:00Z,43876.6484
2025-09-01T01:22:00Z,43877.0312
2025-09-01T01:23:00Z,43877.3789
2025-09-01T01:24:00Z,43877.7695
2025-09-01T01:25:00Z,43878.125
2025-09-01T01:26:00Z,43878.5
2025-09-01T01:27:00Z,43878.8633
2025-09-01T01:28:00Z,43879.2422
2025-09-01T01:29:00Z,43879.6289
2025-09-01T01:30:00Z,43880.1016
2025-09-01T01:31:00Z,43880.4805
2025-09-01T01:32:00Z,43880.8984
2025-09-01T01:33:00Z,43881.2891
2025-09-01T01:34:00Z,43881.707
2025-09-01T01:35:00Z,43882.0625
2025-09-01T01:36:00Z,43882.4844
2025-09-01T01:37:00Z,43882.8398
2025-09-01T01:38:00Z,43883.2578
2025-09-01T01:39:00Z,43883.6172
2025-09-01T01:40:00Z,43884.0234
2025-09-01T01:41:00Z,43884.4492
2025-09-01T01:42:00Z,43884.8242
2025-09-01T01:43:00Z,43885.2773
2025-09-01T01:44:00Z,43885.6211
2025-09-01T01:45:00Z,43886.0898
2025-09-01T01:46:00Z,43886.457
2025-09-01T01:47:00Z,43886.8828
2025-09-01T01:48:00Z,43887.2539
2025-09-01T01:49:00Z,43887.6758
2025-09-01T01:50:00Z,43888.0391
2025-09-01T01:51:00Z,43888.4648
2025-09-01T01:52:00Z,43888.875
2025-09-01T01:53:00Z,43889.2852
2025-09-01T01:54:00Z,43889.7344
2025-09-01T01:55:00Z,43890.1289
2025-09-01T01:56:00Z,43890.5781
2025-09-01T01:57:00Z,43890.9492
2025-09-01T01:58:00Z,43891.4023
2025-09-01T01:59:00Z,43891.7891
2025-09-01T02:00:00Z,43892.2891
2025-09-01T02:01:00Z,43892.7812
2025-09-01T02:02:00Z,43893.1875
2025-09-01T02:03:00Z,43893.5664
2025-09-01T02:04:00Z,43894.0312
2025-09-01T02:05:00Z,43894.4492
2025-09-01T02:06:00Z,43894.9805
2025-09-01T02:07:00Z,43895.3984
2025-09-01T02:08:00Z,43895.8398
2025-09-01T02:09:00Z,43896.2188
2025-09-01T02:10:00Z,43896.6172
2025-09-01T02:11:00Z,43896.9609
2025-09-01T02:12:00Z,43897.3438
2025-09-01T02:13:00Z,43897.7461
2025-09-01T02:14:00Z,43898.1875
2025-09-01T02:15:00Z,43898.5938
2025-09-01T02:16:00Z,43899.082
2025-09-01T02:17:00Z,43899.5195
2025-09-01T02:18:00Z,43899.9844
2025-09-01T02:19:00Z,43900.4336
2025-09-01T02:20:00Z,43900.875
2025-09-01T02:21:00Z,43901.293
2025-09-01T02:22:00Z,43901.75
2025-09-01T02:23:00Z,43902.1523
2025-09-01T02:24:00Z,43902.582
2025-09-01T02:25:00Z,43903.0391
2025-09-01T02:26:00Z,43903.4336
2025-09-01T02:27:00Z,43903.957
2025-09-01T02:28:00Z,43904.3828
2025-09-01T02:29:00Z,43904.875
2025-09-01T02:30:00Z,43905.3047
2025-09-01T02:31:00Z,43905.7852
2025-09-01T02:32:00Z,43906.2031
2025-09-01T02:33:00Z,43906.6367
2025-09-01T02:34:00Z,43907.0664
2025-09-01T02:35:00Z,43907.5352
2025-09-01T02:36:00Z,43907.9375
2025-09-01T02:37:00Z,43908.3945
2025-09-01T02:38:00Z,43908.8594
2025-09-01T02:39:00Z,43909.293
2025-09-01T02:40:00Z,43909.793
2025-09-01T02:41:00Z,43910.1602
2025-09-01T02:42:00Z,43910.6055
2025-09-01T02:43:00Z,43910.9727
2025-09-01T02:44:00Z,43911.3633
2025-09-01T02:45:00Z,43911.7188
2025-09-01T02:46:00Z,43912.0977
2025-09-01T02:47:00Z,43912.4453
2025-09-01T02:48:00Z,43912.8359
2025-09-01T02:49:00Z,43913.1758
2025-09-01T02:50:00Z,43913.5781
2025-09-01T02:51:00Z,43914
2025-09-01T02:52:00Z,43914.3203
2025-09-01T02:53:00Z,43914.75
2025-09-01T02:54:00Z,43915.0977
2025-09-01T02:55:00Z,43915.543
2025-09-01T02:56:00Z,43915.8906
2025-09-01T02:57:00Z,43916.2969
2025-09-01T02:58:00Z,43916.6562
2025-09-01T02:59:00Z,43916.9688
2025-09-01T03:00:00Z,43917.4336
2025-09-01T03:01:00Z,43917.8477
2025-09-01T03:02:00Z,43918.2617
2025-09-01T03:03:00Z,43918.6523
2025-09-01T03:04:00Z,43919.082
2025-09-01T03:05:00Z,43919.5234
2025-09-01T03:06:00Z,43919.957
2025-09-01T03:07:00Z,43920.3359
2025-09-01T03:08:00Z,43920.8047
2025-09-01T03:09:00Z,43921.2109
2025-09-01T03:10:00Z,43921.6289
2025-09-01T03:11:00Z,43922.0625
2025-09-01T03:12:00Z,43922.5
2025-09-01T03:13:00Z,43922.8789
2025-09-01T03:14:00Z,43923.3047
2025-09-01T03:15:00Z,43923.7188
2025-09-01T03:16:00Z,43924.1484
2025-09-01T03:17:00Z,43924.6406
2025-09-01T03:18:00Z,43925.0625
2025-09-01T03:19:00Z,43925.5078
2025-09-01T03:20:00Z,43925.9727
2025-09-01T03:21:00Z,43926.2227
2025-09-01T03:22:00Z,43926.4531
2025-09-01T03:23:00Z,43926.668
2025-09-01T03:24:00Z,43926.8867
2025-09-01T03:25:00Z,43927.0938
2025-09-01T03:26:00Z,43927.332
2025-09-01T03:27:00Z,43927.5547
2025-09-01T03:28:00Z,43927.7734
2025-09-01T03:29:00Z,43928.0156
2025-09-01T03:30:00Z,43928.2656
2025-09-01T03:31:00Z,43928.5156
2025-09-01T03:32:00Z,43928.7461
2025-09-01T03:33:00Z,43928.9648
2025-09-01T03:34:00Z,43929.1875
2025-09-01T03:35:00Z,43929.4141
2025-09-01T03:36:00Z,43929.6328
2025-09-01T03:37:00Z,43929.8594
2025-09-01T03:38:00Z,43930.0781
2025-09-01T03:39:00Z,43930.3086
2025-09-01T03:40:00Z,43930.5586
2025-09-01T03:41:00Z,43930.793
2025-09-01T03:42:00Z,43931.0195
2025-09-01T03:43:00Z,43931.2578
2025-09-01T03:44:00Z,43931.4844
2025-09-01T03:45:00Z,43931.7109
2025-09-01T03:46:00Z,43931.918
2025-09-01T03:47:00Z,43932.1406
2025-09-01T03:48:00Z,43932.3438
2025-09-01T03:49:00Z,43932.5547
2025-09-01T03:50:00Z,43932.7852
2025-09-01T03:51:00Z,43932.9883
2025-09-01T03:52:00Z,43933.2227
2025-09-01T03:53:00Z,43933.4609
2025-09-01T03:54:00Z,43933.7031
2025-09-01T03:55:00Z,43933.9531
2025-09-01T03:56:00Z,43934.1875
2025-09-01T03:57:00Z,43934.4219
2025-09-01T03:58:00Z,43934.6484
2025-09-01T03:59:00Z,43934.875
2025-09-01T04:00:00Z,43935.0859
2025-09-01T04:01:00Z,43935.293
2025-09-01T04:02:00Z,43935.5195
2025-09-01T04:03:00Z,43935.7344
2025-09-01T04:04:00Z,43935.9492
2025-09-01T04:05:00Z,43936.168
2025-09-01T04:06:00Z,43936.3672
2025-09-01T04:07:00Z,43936.5781
2025-09-01T04:08:00Z,43936.7852
2025-09-01T04:09:00Z,43936.9883
2025-09-01T04:10:00Z,43937.1914
2025-09-01T04:11:00Z,43937.3945
2025-09-01T04:12:00Z,43937.6055
2025-09-01T04:13:00Z,43937.8086
2025-09-01T04:14:00Z,43938.0117
2025-09-01T04:15:00Z,43938.2148
2025-09-01T04:16:00Z,43938.4219
2025-09-01T04:17:00Z,43938.6094
2025-09-01T04:18:00Z,43938.832
2025-09-01T04:19:00Z,43939.0312
2025-09-01T04:20:00Z,43939.2344
2025-09-01T04:21:00Z,43939.4414
2025-09-01T04:22:00Z,43939.6445
2025-09-01T04:23:00Z,43939.8477
2025-09-01T04:24:00Z,43940.0625
2025-09-01T04:25:00Z,43940.2539
2025-09-01T04:26:00Z,43940.4727
2025-09-01T04:27:00Z,43940.6836
2025-09-01T04:28:00Z,43940.8828
2025-09-01T04:29:00Z,43941.0898
2025-09-01T04:30:00Z,43941.2891
2025-09-01T04:31:00Z,43941.4844
2025-09-01T04:32:00Z,43941.7031
2025-09-01T04:33:00Z,43941.8945
2025-09-01T04:34:00Z,43942.1055
2025-09-01T04:35:00Z,43942.3086
2025-09-01T04:36:00Z,43942.5078
2025-09-01T04:37:00Z,43942.7188
2025-09-01T04:38:00Z,43942.918
2025-09-01T04:39:00Z,43943.125
2025-09-01T04:40:00Z,43943.3164
2025-09-01T04:41:00Z,43943.5352
2025-09-01T04:42:00Z,43943.7383
2025-09-01T04:43:00Z,43943.9375
2025-09-01T04:44:00Z,43944.1406
2025-09-01T04:45:00Z,43944.3477
2025-09-01T04:46:00Z,43944.5547
2025-09-01T04:47:00Z,43944.7539
2025-09-01T04:48:00Z,43944.9609
2025-09-01T04:49:00Z,43945.1602
2025-09-01T04:50:00Z,43945.3672
2025-09-01T04:51:00Z,43945.5703
2025-09-01T04:52:00Z,43945.7695
2025-09-01T04:53:00Z,43945.9727
2025-09-01T04:54:00Z,43946.1875
2025-09-01T04:55:00Z,43946.3828
2025-09-01T04:56:00Z,43946.5898
2025-09-01T04:57:00Z,43946.7852
2025-09-01T04:58:00Z,43946.9922
2025-09-01T04:59:00Z,43947.1914
2025-09-01T05:00:00Z,43947.3945
2025-09-01T05:01:00Z,43947.5977
2025-09-01T05:02:00Z,43947.7852
2025-09-01T05:03:00Z,43948.0039
2025-09-01T05:04:00Z,43948.207
2025-09-01T05:05:00Z,43948.4062
2025-09-01T05:06:00Z,43948.6094
2025-09-01T05:07:00Z,43948.8125
2025-09-01T05:08:00Z,43949.0156
2025-09-01T05:09:00Z,43949.3164
2025-09-01T05:10:00Z,43949.9727
2025-09-01T05:11:00Z,43950.6133
2025-09-01T05:12:00Z,43951.0469
2025-09-01T05:13:00Z,43951.4609
2025-09-01T05:14:00Z,43951.8711
2025-09-01T05:15:00Z,43952.2578
2025-09-01T05:16:00Z,43952.6211
2025-09-01T05:17:00Z,43952.957
2025-09-01T05:18:00Z,43953.2422
2025-09-01T05:19:00Z,43953.5586
2025-09-01T05:20:00Z,43953.832
2025-09-01T05:21:00Z,43954.1172
2025-09-01T05:22:00Z,43954.3555
2025-09-01T05:23:00Z,43954.625
2025-09-01T05:24:00Z,43954.8516
2025-09-01T05:25:00Z,43955.1055
2025-09-01T05:26:00Z,43955.3359
2025-09-01T05:27:00Z,43955.5625
2025-09-01T05:28:00Z,43955.7812
2025-09-01T05:29:00Z,43955.9883
2025-09-01T05:30:00Z,43956.2148
2025-09-01T05:31:00Z,43956.418
2025-09-01T05:32:00Z,43956.6328
2025-09-01T05:33:00Z,43956.8398
2025-09-01T05:34:00Z,43957.043
2025-09-01T05:35:00Z,43957.2617
2025-09-01T05:36:00Z,43957.4727
2025-09-01T05:37:00Z,43957.6836
2025-09-01T05:38:00Z,43957.8906
2025-09-01T05:39:00Z,43958.1055
2025-09-01T05:40:00Z,43958.3086
2025-09-01T05:41:00Z,43958.5273
2025-09-01T05:42:00Z,43958.7383
2025-09-01T05:43:00Z,43958.9492
2025-09-01T05:44:00Z,43959.1562
2025-09-01T05:45:00Z,43959.375
2025-09-01T05:46:00Z,43959.5781
2025-09-01T05:47:00Z,43959.7969
2025-09-01T05:48:00Z,43960.0156
2025-09-01T05:49:00Z,43960.2266
2025-09-01T05:50:00Z,43960.4375
2025-09-01T05:51:00Z,43960.6484
2025-09-01T05:52:00Z,43960.8672
2025-09-01T05:53:00Z,43961.0742
2025-09-01T05:54:00Z,43961.293
2025-09-01T05:55:00Z,43961.5156
2025-09-01T05:56:00Z,43961.7383
